2016-07-16 23:58:57,580 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MyAdCampaign:MyAdCampaign:0.0.1-SNAPSHOT @ E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\pom.xml.
2016-07-17 00:45:02,055 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:45:02,059 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\main\resources
2016-07-17 00:45:02,063 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:45:02,068 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\test\resources
2016-07-17 00:45:35,428 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:45:35,433 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\main\resources
2016-07-17 00:45:35,434 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:45:35,439 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\test\resources
2016-07-17 00:46:24,210 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:46:24,215 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\main\resources
2016-07-17 00:46:24,217 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:46:24,221 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\test\resources
2016-07-17 00:46:27,361 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:46:27,368 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\main\resources
2016-07-17 00:46:27,370 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:46:27,375 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\test\resources
2016-07-17 00:47:13,630 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:47:13,634 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\main\resources
2016-07-17 00:47:13,636 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:47:13,640 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\test\resources
2016-07-17 00:47:22,050 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:47:22,055 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\main\resources
2016-07-17 00:47:22,057 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 00:47:22,061 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\Tausif\BobyConsulting\Development\RestFulWSExmp\RESTfulExample\MyAdCampaign\src\test\resources
2016-07-17 00:48:54,177 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
